id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Feline_calicivirus,11981,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,Feline_calicivirus
s__Betacoronavirus_1,31631,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Betacoronavirus_1
s__Mamastrovirus_3,1239567,Viruses,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus_3
s__Influenza_A_virus,683780,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,468968,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Severe_acute_respiratory_syndrome_related_coronavirus,228330,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Severe_acute_respiratory_syndrome_related_coronavirus
s__Influenza_A_virus,647923,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Tobacco_mosaic_virus,12242,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Tobacco_mosaic_virus
s__Rhinovirus_A,650130,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Rhinovirus_A
s__Enterovirus_A,31704,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus_A
s__Influenza_A_virus,400828,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Influenza_A_virus,385585,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Hepacivirus_C,11116,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus,Hepacivirus_C
s__Sin_Nombre_orthohantavirus,1980491,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Sin_Nombre_orthohantavirus
s__Enterovirus_E,12064,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus_E
s__Rotavirus_A,10962,Viruses,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Reoviridae,Rotavirus,Rotavirus_A
s__Influenza_A_virus,359921,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza_A_virus
s__Bluetongue_virus,94967,Viruses,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Reoviridae,Orbivirus,Bluetongue_virus
